storm_id,storm_name,year,fulldate,time,lat_center,lon_center,max_sus_wind_speed,
2000233N12316,DEBBY,2000,20000820,0600,13.3,-46.8,35,
2000233N12316,DEBBY,2000,20000820,0900,13.6502,-47.7776,37,
2000233N12316,DEBBY,2000,20000820,1200,14,-48.8,40,
2000233N12316,DEBBY,2000,20000820,1500,14.3722,-49.7374,42,
2000233N12316,DEBBY,2000,20000820,1800,14.7,-50.6,45,
2000233N12316,DEBBY,2000,20000820,2100,14.9292,-51.3429,50,
2000233N12316,DEBBY,2000,20000821,0000,15.1,-52.1,55,
2000233N12316,DEBBY,2000,20000821,0300,15.257,-52.9903,60,
2000233N12316,DEBBY,2000,20000821,0600,15.4,-54,65,
2000233N12316,DEBBY,2000,20000821,0900,15.5425,-55.1277,70,
2000233N12316,DEBBY,2000,20000821,1200,15.7,-56.3,75,
2000233N12316,DEBBY,2000,20000821,1500,15.8699,-57.4527,75,
2000233N12316,DEBBY,2000,20000821,1800,16.1,-58.5,75,
2000233N12316,DEBBY,2000,20000821,2100,16.439,-59.3409,72,
2000233N12316,DEBBY,2000,20000822,0000,16.8,-60.1,70,
2000233N12316,DEBBY,2000,20000822,0300,17.1,-60.9,70,
2000233N12316,DEBBY,2000,20000822,0600,17.5,-61.7,65,
2000233N12316,DEBBY,2000,20000822,0900,17.8752,-62.7221,65,
2000233N12316,DEBBY,2000,20000822,0915,17.9,-62.8,65,
2000233N12316,DEBBY,2000,20000822,1200,18.1,-63.5,65,
2000233N12316,DEBBY,2000,20000822,1500,18.5,-64.4,65,
2000233N12316,DEBBY,2000,20000822,1800,18.8,-65.4,65,
2000233N12316,DEBBY,2000,20000822,2100,19.0264,-66.1152,65,
2000233N12316,DEBBY,2000,20000823,0000,19.2,-66.7,65,
2000233N12316,DEBBY,2000,20000823,0300,19.3571,-67.3778,65,
2000233N12316,DEBBY,2000,20000823,0600,19.5,-68.1,65,
2000233N12316,DEBBY,2000,20000823,0900,19.6571,-68.87,62,
2000233N12316,DEBBY,2000,20000823,1200,19.8,-69.7,60,
2000233N12316,DEBBY,2000,20000823,1500,19.9298,-70.5848,55,
2000233N12316,DEBBY,2000,20000823,1800,20,-71.5,50,
2000233N12316,DEBBY,2000,20000823,2100,19.987,-72.4001,45,
2000233N12316,DEBBY,2000,20000824,0000,19.9,-73.3,40,
2000233N12316,DEBBY,2000,20000824,0300,19.7494,-74.1928,37,
2000233N12316,DEBBY,2000,20000824,0600,19.6,-75.1,35,
2000233N12316,DEBBY,2000,20000824,0900,19.5261,-76.0397,32,
2000233N12316,DEBBY,2000,20000824,1200,19.5,-77,30,
2000246N15315,ERNESTO,2000,20000901,1200,14.8,-45.2,25,
2000246N15315,ERNESTO,2000,20000901,1500,14.861,-46.1476,27,
2000246N15315,ERNESTO,2000,20000901,1800,15,-47,30,
2000246N15315,ERNESTO,2000,20000901,2100,15.2695,-47.6949,30,
2000246N15315,ERNESTO,2000,20000902,0000,15.6,-48.3,30,
2000246N15315,ERNESTO,2000,20000902,0300,15.8922,-48.9003,32,
2000246N15315,ERNESTO,2000,20000902,0600,16.2,-49.5,35,
2000246N15315,ERNESTO,2000,20000902,0900,16.5499,-50.1426,35,
2000246N15315,ERNESTO,2000,20000902,1200,16.9,-50.8,35,
2000246N15315,ERNESTO,2000,20000902,1500,17.1996,-51.4355,35,
2000246N15315,ERNESTO,2000,20000902,1800,17.5,-52.1,35,
2000246N15315,ERNESTO,2000,20000902,2100,17.85,-52.8425,35,
2000246N15315,ERNESTO,2000,20000903,0000,18.2,-53.6,35,
2000246N15315,ERNESTO,2000,20000903,0300,18.507,-54.293,35,
2000246N15315,ERNESTO,2000,20000903,0600,18.8,-55,35,
2000246N15315,ERNESTO,2000,20000903,0900,19.1,-55.8001,35,
2000246N15315,ERNESTO,2000,20000903,1200,19.4,-56.6,35,
2000246N15315,ERNESTO,2000,20000903,1500,19.7003,-57.3246,32,
2000246N15315,ERNESTO,2000,20000903,1800,20,-58,30,
2000255N31289,FLORENCE,2000,20000910,1800,30.9,-70.9,30,
2000255N31289,FLORENCE,2000,20000910,2100,30.845,-71.0876,30,
2000255N31289,FLORENCE,2000,20000911,0000,30.8,-71.3,30,
2000255N31289,FLORENCE,2000,20000911,0300,30.765,-71.5499,30,
2000255N31289,FLORENCE,2000,20000911,0600,30.7,-71.8,30,
2000255N31289,FLORENCE,2000,20000911,0900,30.5649,-72.0075,37,
2000255N31289,FLORENCE,2000,20000911,1200,30.4,-72.2,45,
2000255N31289,FLORENCE,2000,20000911,1500,30.2275,-72.4226,55,
2000255N31289,FLORENCE,2000,20000911,1800,30.1,-72.6,65,
2000255N31289,FLORENCE,2000,20000911,2100,30.0699,-72.6724,65,
2000255N31289,FLORENCE,2000,20000912,0000,30.1,-72.7,65,
2000255N31289,FLORENCE,2000,20000912,0300,30.1425,-72.735,62,
2000255N31289,FLORENCE,2000,20000912,0600,30.2,-72.8,60,
2000255N31289,FLORENCE,2000,20000912,0900,30.235,-72.9425,60,
2000255N31289,FLORENCE,2000,20000912,1200,30.3,-73.1,60,
2000255N31289,FLORENCE,2000,20000912,1500,30.4424,-73.1925,62,
2000255N31289,FLORENCE,2000,20000912,1800,30.6,-73.3,65,
